Name,School,Rating,School_key,Conf,conf_z,Rating_conf
Andrew Rohde,Virginia,80.1794833333333,virginia,ACC,1.7207353516788697,84.62929438956034
Jonas Aidoo,Arkansas,79.46395,arkansas,SEC,2.0829954257165264,84.62348081891177
Flory Bidunga,Kansas,80.1697,kansas,B12,1.7207353516788697,84.61563034836915
Terrence Edwards Jr.,Louisville,80.1587,louisville,ACC,1.7207353516788697,84.60027010208142
Nick Boyd,San Diego St.,81.1684666666667,sandiegost,Mountain West,1.2377219196286608,84.51014615635553
Micah Parrish,Ohio St.,79.3526833333334,ohiost,Big Ten,2.0829954257165264,84.46016308032831
Enoch Cheeks,Dayton,82.7147666666666,dayton,A10,0.6339551295658994,84.40879323968772
Quincy Ballard,Wichita St.,82.7088166666667,wichitast,AAC,0.6339551295658994,84.40200642172628
Kaleb Banks,Tulane,82.7071,tulane,AAC,0.6339551295658994,84.40004837745583
Tyler Harris,Washington,79.2923833333334,washington,Big Ten,2.0829954257165264,84.37182242890782
Trevon Brazile,Arkansas,79.25675,arkansas,SEC,2.0829954257165264,84.31967422187283
Obi Agbim,Wyoming,80.982250000000107,wyoming,Mountain West,1.2377219196286608,84.27032317334549
Max Klesmit,Wisconsin,79.21415,wisconsin,Big Ten,2.0829954257165264,84.25738432100523
Puff Johnson,Penn St.,79.2140333333334,pennst,Big Ten,2.0829954257165264,84.25721381084139
Nick Martinelli,Northwestern,79.1984333333334,northwestern,Big Ten,2.0829954257165264,84.2344181142054
Reyne Smith,Louisville,79.8735666666667,louisville,ACC,1.7207353516788697,84.20324243776193
Cameron Corhen,Pittsburgh,79.8234666666667,pittsburgh,ACC,1.7207353516788697,84.13370499211628
Steve Settle,Temple,82.4671833333333,temple,AAC,0.6339551295658994,84.12664882177853
Micah Peavy,Georgetown,79.115,georgetown,Big East,2.0829954257165264,84.1126329329917
Jaxon Kohler,Michigan St.,79.09225,michiganst,Big Ten,2.0829954257165264,84.07946418037534
Keba Keita,BYU,79.73535,byu,B12,1.7207353516788697,84.01156217471986
Rueben Chinyelu,Florida,79.0372,florida,SEC,2.0829954257165264,83.99927160668811
Javian McCollum,Georgia Tech,79.7062666666667,georgiatech,ACC,1.7207353516788697,83.97129320585206
Xzayvier Brown,Saint Joseph's,82.3162166666667,saintjosephs,A10,0.6339551295658994,83.9548676557566
Jordan Ivy-Curry,UCF,79.6933666666668,ucf,B12,1.7207353516788697,83.95343889617274
Efton Reid,Wake Forest,79.6568333333334,wakeforest,ACC,1.7207353516788697,83.90289844000547
Pierre Brooks,Butler,78.9468666666667,butler,Big East,2.0829954257165264,83.8678905046403
Dishon Jackson,Iowa St.,79.62795,iowast,B12,1.7207353516788697,83.8629657947518
A.J. Hoggard,Vanderbilt,78.9120666666666,vanderbilt,SEC,2.0829954257165264,83.81734651928355
LeJuan Watts,Washington St.,82.18665,washingtonst,WCC,0.6339551295658994,83.80759261491383
Fousseyni Traore,BYU,79.5765166666667,byu,B12,1.7207353516788697,83.79191066021339
Malik Thomas,San Francisco,82.1343833333333,sanfrancisco,WCC,0.6339551295658994,83.74822295691729
Sebastian Thomas,Rhode Island,82.12565,rhodeisland,A10,0.6339551295658994,83.73830503552476
Tramon Mark,Texas,78.8448666666666,texas,SEC,2.0829954257165264,83.71985298574502
Nolan Hickman,Gonzaga,82.0861833333334,gonzaga,WCC,0.6339551295658994,83.69349318810073
N.J. Benson,DePaul,78.8190166666667,depaul,Big East,2.0829954257165264,83.68238793494987
Patrick McCaffery,Butler,78.7957833333334,butler,Big East,2.0829954257165264,83.64873328424022
Boogie Fland,Arkansas,78.7784,arkansas,SEC,2.0829954257165264,83.62356378416814
Aaron Scott,St. John's,78.77255,stjohns,Big East,2.0829954257165264,83.6150956525117
Jizzle James,Cincinnati,79.4474166666666,cincinnati,B12,1.7207353516788697,83.61386270950037
Chase Ross,Marquette,78.71635,marquette,Big East,2.0829954257165264,83.53379854772784
Jack Clark,VCU,81.9371833333333,vcu,A10,0.6339551295658994,83.52443215301628
Matthew Nicholson,Northwestern,78.6769,northwestern,Big Ten,2.0829954257165264,83.47679071155389
Jaden Akins,Michigan St.,78.6641666666667,michiganst,Big Ten,2.0829954257165264,83.45840062590996
Malik Dia,Mississippi,78.6602166666666,mississippi,SEC,2.0829954257165264,83.45269688002881
Essam Mostafa,Middle Tennessee,82.8601166666667,middletennessee,CUSA,0.27169505552824263,83.31331701841115
Jalen Reed,LSU,78.5464166666666,lsu,SEC,2.0829954257165264,83.28858061487796
Koby Brea,Kentucky,78.5411666666666,kentucky,SEC,2.0829954257165264,83.28101909128557
Reed Bailey,Davidson,81.7026333333334,davidson,A10,0.6339551295658994,83.258681250016
Matt Allocco,Notre Dame,79.1735833333333,notredame,ACC,1.7207353516788697,83.23763294943105
Milan Momcilovic,Iowa St.,79.1477166666667,iowast,B12,1.7207353516788697,83.20219331702573
Will Riley,Illinois,78.4612333333333,illinois,Big Ten,2.0829954257165264,83.16599769679759
Nate Kingz,Oregon St.,81.5654166666667,oregonst,WCC,0.6339551295658994,83.1034243857576
