"Name","School","Rating"
"Rory Hetrick","Cal State San Marcos Cougars",67.3303008282824
"Brooklyn Meyer","South Dakota State Jackrabbits",67.3250161362184
"Evangelia Paulk","Wofford Terriers",67.3140085153136
"Dazia Lawrence","Kentucky Wildcats",67.3108726140634
"Jayla Murray","Wichita State Shockers",67.3038531270466
"Bella Smuda","Liberty Flames",67.3036237746439
"Kendall Sneed","Tulane Green Wave",67.3025467017404
"Silkiari Vazquez-Troche","Tennessee Southern Firehawks",67.3010115167153
"Marie Kiefer","Ball State Cardinals",67.2946847212302
"Sydney Affolter","Iowa Hawkeyes",67.2696026061911
"Mack Konig","Montana Lady Griz",67.2687479726347
"Josie Hill","Chicago State Cougars",67.2662973302759
"Olivia Olsen","Providence Friars",67.2553765048423
"Teya Sidberry","Boston College Eagles",67.2526588979264
"Jayda Curry","Louisville Cardinals",67.2526048553654
"Kayba Laube","Northern Iowa Panthers",67.2506529493694
"Kade Hackerott","UT Rio Grande Valley Vaqueros",67.2373234679166
"Izabela Nicoletti Leite","Fairfield Stags",67.2229293519246
"Azzi Fudd","UConn Huskies",67.2151604798095
"Alexis Markowski","Nebraska Cornhuskers",67.2150959946793
"Rachel Ullstrom","Richmond Spiders",67.2107249340969
"Rachel Leggett","South Alabama Jaguars",67.2105901705752
"Emma Koons","Ohio Christian Trailblazers",67.1963830280995
"Savannah Brooks","Coastal Carolina Chanticleers",67.187817465056
"Delanie Crawford","Tulsa Golden Hurricane",67.1752206663048
"Molly Masingale","Wofford Terriers",67.1746972636365
"Candy Edokpaigbe","Seattle U Redhawks",67.161105260454
"Rayah Marshall","USC Trojans",67.1431859159549
"Sydney Parrish","Indiana Hoosiers",67.1382876317405
"Angeliki Ziaka","San Francisco Dons",67.1370682580718
"Anna Olson","Vermont Catamounts",67.1285781491175
"Bridget Dunn","Kent State Golden Flashes",67.1265217786449
"Jaiden Ross","Webber International Warriors",67.1058302103654
"Elyce Knudsen","Illinois State Redbirds",67.0981096242019
"Mya Skoff","Lindenwood Lions",67.0903728377096
"Elena Rodriguez","Harvard Crimson",67.0897556080326
"Liz Freihofer","Eastern Kentucky Colonels",67.0881136545204
"Keeley Carter","Tennessee Tech Golden Eagles",67.0741793575961
"Eleonora Villa","Washington State Cougars",67.0698960175087
"Madison Hayes","NC State Wolfpack",67.0656460583452
"Morgan Callahan","North Carolina Central Eagles",67.0447433169428
"Nyah Moran","Northern Arizona Lumberjacks",67.0317619272421
"Bailey Tabeling","Ohio Bobcats",67.0199485142777
"Camryn Runner","Evansville Purple Aces",67.0190056124589
"Carlie Latta","Utah State Aggies",67.009458336012
"Jade Weathersby","UAB Blazers",66.9960181102819
"Fanta Kone","Sam Houston Bearkats",66.984956555245
"Mackenzie Egger","Yale Bulldogs",66.9841815972435
"Jada Eads","Seton Hall Pirates",66.9707624740721
"Laura Erikstrup","Grand Canyon Lopes",66.9597898804862
"Haleigh Timmer","South Dakota State Jackrabbits",66.9416438684675
"Damaris Rodriguez","Monmouth Hawks",66.9340612201563
"Sherese Pittman","Tulane Green Wave",66.9293785420922
"Tara Cousins","Delaware Blue Hens",66.8960506081591
"Jaddan Simmons","Michigan State Spartans",66.8925350817747
"Courtney Becker","Drake Bulldogs",66.8899411164932
"Oluchi Okananwa","Duke Blue Devils",66.8832896182468
"Syla Swords","Michigan Wolverines",66.8746136534978
"Tyi Skinner","Arizona State Sun Devils",66.8725360289361
"Kylee Fox","Fresno State Bulldogs",66.8681377813898
"Mikyla Tolivert","Georgia State Panthers",66.8678171501548
"Alisha Wilson","Alabama A&M Bulldogs",66.8199603739198
"Taylor Golembiewski","Colgate Raiders",66.8191657446976
"Maye Toure","Utah Utes",66.7955888198532
"Jalei Oglesby","Oral Roberts Golden Eagles",66.7850646696551
"Jasha Clinton","Hampton Lady Pirates",66.7814783741772
"Mady Cartwright","Tulsa Golden Hurricane",66.7636575176276
"Anna Walker","Tennessee Tech Golden Eagles",66.754425513889
"Rashunda Jones","Purdue Boilermakers",66.7458728805214
"Acacia Hayes","Western Kentucky Lady Toppers",66.7440307892258
"Astera Tuhina","Washington State Cougars",66.7436453390397
"Cayla Howard","Dominican (NY) Chargers",66.7369364741423
