Name,School,Rating,team_key,team_id,conference_id,conf_z,Rating_conf
Sheyene Neale,Bradley Braves,41.8539643457991,bradleybraves,71,18,0.3818613853103341,41.85401289321151
Tia Shelling,Western Kentucky Lady Toppers,41.8354119565217,westernkentuckyladytoppers,98,11,0.1427033440452017,41.835419682836196
Maddy Saracco,Tennessee Tech Golden Eagles,41.826931547619,tennesseetechgoldeneagles,2635,20,-0.46568010292818823,41.826559558748954
Denver Anderson,Southern Utah Thunderbirds,41.8266357142857,southernutahthunderbirds,253,30,-0.3067245555951177,41.82636917556742
Sara Deidda,Wofford Terriers,41.825109469697,woffordterriers,2747,24,-0.4695431161729573,41.82473605712915
Faith Pappas,Sacred Heart Pioneers,41.8251963203463,sacredheartpioneers,2529,13,-0.7445170244651927,41.82464119178506
Cristina Garcia,Loyola Maryland Greyhounds,41.8172309523809,loyolamarylandgreyhounds,2352,22,-0.505160124153813,41.816839204825264
Claudia Jimenez,Manhattan Jaspers,41.799691025641,manhattanjaspers,2363,13,-0.7445170244651927,41.7991591698722
Dejah Jenkins,Merrimack Warriors,41.7829430638806,merrimackwarriors,2771,13,-0.7445170244651927,41.78242612585787
Teagan Colvin,UNLV Lady Rebels,41.768813582251,unlvladyrebels,NA,NA,0,41.76875608273184
Ariana Williams,Penn State Lady Lions,41.7507940993789,pennstateladylions,213,7,1.8898677492822935,41.751043058904855
Payton Dunbar,Virginia Cavaliers,41.7476047702298,virginiacavaliers,258,2,1.7410828106998104,41.74783801442403
Dallas Pierce,Massachusetts Minutewomen,41.7451613154961,massachusettsminutewomen,113,3,0.21493314091272497,41.74517813874281
Hailey Smith,Ball State Cardinals,41.7413011183261,ballstatecardinals,2050,14,-0.06421715182798006,41.741209530330714
Aarionna Redman,Marshall Thundering Herd,41.7386113154961,marshallthunderingherd,276,27,-0.06224989283771565,41.738521278178126
Tristan Spearman,Southeast Missouri State Redhawks,41.6912733201581,southeastmissouristateredhawks,2546,20,-0.46568010292818823,41.69097915308007
Adebukola Akomolafe,VCU Rams,41.6858869565217,vcurams,2670,3,0.21493314091272497,41.68590210159318
Jaelyn Brown,Longwood Lancers,41.6852553631152,longwoodlancers,2344,6,-1.3272392548610852,41.68451781730429
Caitlin Washington,Bradley Braves,41.6784107660455,bradleybraves,71,18,0.3818613853103341,41.67844663603163
Kianni Westbrook,Tulane Green Wave,41.6780583333333,tulanegreenwave,NA,NA,0,41.67800934478573
Ramani Parker,Seton Hall Pirates,41.6637202898551,setonhallpirates,2550,4,1.1815976661979184,41.66385283466131
Grace Lomen,Milwaukee Panthers,41.6580675407925,milwaukeepanthers,NA,NA,0,41.65802030494577
Avary Cain,UCLA Bruins,41.6440184583533,uclabruins,26,7,1.8898677492822935,41.644224062211904
Lucija Banovic,Dartmouth Big Green,41.620776984127,dartmouthbiggreen,159,12,0.1841164774285017,41.62078694608807
Faith Okorie,George Mason Patriots,41.6131869565218,georgemasonpatriots,2244,3,0.21493314091272497,41.61320020243799
Grace Billington,Murray State Racers,41.5995369565217,murraystateracers,93,18,0.3818613853103341,41.59956794473923
Genna Wienecke,Cal State Fullerton Titans,41.599661462149,calstatefullertontitans,2239,9,-0.518954747209004,41.59938953517432
Paris Miller,Nicholls Colonels,41.5980422702297,nichollscolonels,2447,25,-0.4220080591350636,41.597813932883085
Raneem ElBarky,Wagner Seahawks,41.5970017399267,wagnerseahawks,2681,19,-1.6800381617881592,41.59623305828671
