Name,School,Rating
Mikyla Tolivert,Georgia State Panthers,80
Jalei Oglesby,Oral Roberts Golden Eagles,80
Mady Cartwright,Tulsa Golden Hurricane,80
Acacia Hayes,Western Kentucky Lady Toppers,80
Cayla Howard,Dominican (NY) Chargers,80
Emaia O'Brien,Detroit Mercy Titans,80
Alexus Mobley,Akron Zips,80
Dolly Cairns,Florida Gulf Coast Eagles,80
Avery Waddington,Montana Lady Griz,80
Skye Belker,Princeton Tigers,80
Cali Clark,San Diego State Aztecs,80
Rolanda Robinson,Adelphi Panthers,80
Freja Werth,San Francisco Dons,80
Olivia Nelson,Idaho Vandals,80
Haleigh Releford,Asbury Eagles,80
Taylor Smith,Weber State Wildcats,80
Bailey Butler,Green Bay Phoenix,80
Jaydia Martin,Sacramento State Hornets,80
Mary-Anna Asare,VCU Rams,80
Emma Trawally Porta,San Francisco Dons,80
Sarina Nagra,UC Merced Bobcats,80
Dominique Ennis,Rice Owls,80
Hadley Periman,Tulsa Golden Hurricane,80
Althea Kara Angeles,Eastern Kentucky Colonels,80
Jordyn Weaver,Queens University Royals,80
Hope Sivori,Bellarmine Knights,80
Keslyn Secrist,Indiana State Sycamores,80
McKelle Meek,Portland Pilots,80
Emma Hess,Liberty Flames,80
Sophia Gregory,Youngstown State Penguins,80
Arielle Dabu,Kentucky Wesleyan Panthers,80
Jordan Jones,Denver Pioneers,80
Kayla Lee,Fisk Bulldogs,80
Amber Scalia,St. Thomas-Minnesota Tommies,80
Ivy Wolf,Dayton Flyers,80
Chloe Sotell,Pepperdine Waves,80
Yahmani McKayle,Massachusetts Minutewomen,80
Destiny Salary,Western Kentucky Lady Toppers,80
Talya Brugler,Saint Joseph's Hawks,80
Addison Martin,Illinois State Redbirds,80
I'yanna Lops,Seton Hall Pirates,80
Mallory Brake,Creighton Bluejays,80
Meri Kanerva,Xavier Musketeers,80
Olivia Cochran,Louisville Cardinals,80
Marta Suarez,California Golden Bears,80
Raegan Beers,Oklahoma Sooners,80
Kaitlyn Chen,UConn Huskies,80
Eniya Russell,Mississippi State Bulldogs,80
Ruby Whitehorn,Tennessee Lady Volunteers,80
Kierra Merchant,Houston Cougars,80
Angela Dugalic,UCLA Bruins,80
Brooke Demetre,Stanford Cardinal,80
Jalyn Brown,Arizona State Sun Devils,80
Jordan Hobbs,Michigan Wolverines,80
Jasmine Shavers,Texas Tech Lady Raiders,80
Jordyn Oliver,Vanderbilt Commodores,80
Aaronette Vonleh,Baylor Bears,80
JoJo Lacey,Rutgers Scarlet Knights,80
Jasmyne Roberts,Miami Hurricanes,80
Eylia Love,Houston Cougars,80
Kyah Watson,West Virginia Mountaineers,80
Skylar Jones,Arizona Wildcats,80
Donovyn Hunter,TCU Horned Frogs,80
Isis Beh,Arizona Wildcats,80
Mia Moore,Clemson Tigers,80
Kennady McQueen,Utah Utes,80
Kennedy Smith,USC Trojans,80
Tameiya Sadler,Ole Miss Rebels,80
Angel Jones,Coppin State Eagles,79
Fatmata Janneh,Saint Peter's Peacocks,79
