Name,School,Rating
Quel'Ron House,Jacksonville St.,72
CJ Brown,South Florida,72
Efrem Johnson,UAB,72
Xavier Bell,Wichita St.,72
Alejandro Vasquez,UAB,72
Kymany Houinsou,Loyola Chicago,72
Jamarques Lawrence,Rhode Island,72
Vukasin Masic,Portland,72
Jaden Daughtry,Indiana St.,72
Daniel Hankins-Sanford,Massachusetts,72
Derek Simpson,Saint Joseph's,72
Torey Alston,Middle Tennessee,72
Johnathan Massie,North Texas,72
Dovydas Butka,Pepperdine,72
Jake DiMichele,Duquesne,72
Zach Laput,Davidson,72
Cam Hayes,East Carolina,72
Kjay Bradley Jr.,San Diego,72
O'Mar Stanley,Boise St.,72
Taj DeGourville,San Diego St.,72
Federiko Federiko,Texas Tech,72
Filip Borovicanin,New Mexico,72
A.J. Staton-McCray,Miami FL,72
Glenn Taylor Jr.,Oklahoma,72
"Corey Floyd, Jr.",Providence,72
Ugonna Onyenso,Kansas St.,72
Dakota Leffew,Georgia,72
Donavan Yap Jr.,San Jose St.,72
Ian Jackson,North Carolina,72
David Coit,Kansas,72
DJ Davis,Washington,72
Isaiah Evans,Duke,72
